full_text,clean_text,normalisasi_text,tokenize,stopword_removal,steming_data,label
@Syifaaaaaa9_ Pertamina pgen pegang kendali monopoli import minyak swasta.. jadi biar dia satu² importir.. jelek nya lagi BBM Pertamina di oplos Etanol.. dan itu di protes pihak SPBU swasta.. krna swasta import BBM Murni tanpa campuran Etanol.. etanol bisa menurunkan kinerja mesin.,syifaaaaaa pertamina pgen pegang kendali monopoli import minyak swasta jadi biar satu importir jelek lagi pertamina oplos etanol protes pihak spbu swasta krna swasta import murni tanpa campuran etanol etanol bisa menurunkan kinerja mesin,syifaaaaaa pertamina pengin pegang kendali monopoli import minyak swasta jadi biar satu importir jelek lagi pertamina oplos etanol protes pihak spbu swasta karena swasta import murni tanpa campuran etanol etanol bisa menurunkan kinerja mesin,"['syifaaaaaa', 'pertamina', 'pengin', 'pegang', 'kendali', 'monopoli', 'import', 'minyak', 'swasta', 'jadi', 'biar', 'satu', 'importir', 'jelek', 'lagi', 'pertamina', 'oplos', 'etanol', 'protes', 'pihak', 'spbu', 'swasta', 'karena', 'swasta', 'import', 'murni', 'tanpa', 'campuran', 'etanol', 'etanol', 'bisa', 'menurunkan', 'kinerja', 'mesin']","['syifaaaaaa', 'pertamina', 'pengin', 'pegang', 'kendali', 'monopoli', 'import', 'minyak', 'swasta', 'biar', 'importir', 'jelek', 'pertamina', 'oplos', 'etanol', 'protes', 'spbu', 'swasta', 'swasta', 'import', 'murni', 'campuran', 'etanol', 'etanol', 'menurunkan', 'kinerja', 'mesin']",syifaaaaaa pertamina pengin pegang kendali monopoli import minyak swasta biar importir jelek pertamina oplos etanol protes spbu swasta swasta import murni campur etanol etanol turun kerja mesin,negative
@AntzBrutallica @GNFI Justru harus peduli wak menyangkut permesinan lho wkwkwk Pertamina 10% etanol aja kalian protes masa yg begini malah abai Standar ganda And this statement come from me as pembenci pemangku kebijakan yg tiap hari selalu ngasih kabar jelek.,antzbrutallica gnfi justru harus peduli menyangkut permesinan wkwkwk pertamina etanol kalian protes masa begini malah abai standar ganda this statement come from pembenci pemangku kebijakan tiap hari selalu ngasih kabar jelek,antzbrutallica gnfi justru harus peduli menyangkut permesinan wkwkwk pertamina etanol kalian protes masa begini malah abai standar ganda this statement come from pembenci pemangku kebijakan tiap hari selalu mengasih kabar jelek,"['antzbrutallica', 'gnfi', 'justru', 'harus', 'peduli', 'menyangkut', 'permesinan', 'wkwkwk', 'pertamina', 'etanol', 'kalian', 'protes', 'masa', 'begini', 'malah', 'abai', 'standar', 'ganda', 'this', 'statement', 'come', 'from', 'pembenci', 'pemangku', 'kebijakan', 'tiap', 'hari', 'selalu', 'mengasih', 'kabar', 'jelek']","['antzbrutallica', 'gnfi', 'peduli', 'permesinan', 'wkwkwk', 'pertamina', 'etanol', 'protes', 'abai', 'standar', 'ganda', 'this', 'statement', 'come', 'from', 'pembenci', 'pemangku', 'kebijakan', 'mengasih', 'kabar', 'jelek']",antzbrutallica gnfi peduli mesin wkwkwk pertamina etanol protes abai standar ganda this statement come from benci mang bijak asih kabar jelek,negative
@e100ss Apakah kalian sudah melakukan riset dan uji kelayakan soal bbm campur etanol? @pertamina @pertamina135 tp alhamdulillah BP makin rame rela antri drpd beli bensin di Pertamina ,ess apakah kalian sudah melakukan riset kelayakan soal campur etanol pertamina pertamina alhamdulillah makin rame rela antri drpd beli bensin pertamina,ess apakah kalian sudah melakukan riset kelayakan soal campur etanol pertamina pertamina alhamdulillah makin rame rela antri daripada beli bensin pertamina,"['ess', 'apakah', 'kalian', 'sudah', 'melakukan', 'riset', 'kelayakan', 'soal', 'campur', 'etanol', 'pertamina', 'pertamina', 'alhamdulillah', 'makin', 'rame', 'rela', 'antri', 'daripada', 'beli', 'bensin', 'pertamina']","['ess', 'riset', 'kelayakan', 'campur', 'etanol', 'pertamina', 'pertamina', 'alhamdulillah', 'rame', 'rela', 'antri', 'beli', 'bensin', 'pertamina']",ess riset layak campur etanol pertamina pertamina alhamdulillah rame rela antri beli bensin pertamina,negative
@sjfi_twider Tak apelah bang udh pusing diriku sama negara sendiri mau kalian mocking pertamina silahkanlah terutama mocking bahlil aja sekalian si mister etanol itu si hitam dari gua hantu.,sjfitwider apelah bang pusing diriku sama negara sendiri kalian mocking pertamina silahkanlah terutama mocking bahlil sekalian mister etanol hitam dari hantu,sjfitwider apelah abang pusing diriku sama negara sendiri kalian mocking pertamina silahkanlah terutama mocking bahlil sekalian mister etanol hitam dari hantu,"['sjfitwider', 'apelah', 'abang', 'pusing', 'diriku', 'sama', 'negara', 'sendiri', 'kalian', 'mocking', 'pertamina', 'silahkanlah', 'terutama', 'mocking', 'bahlil', 'sekalian', 'mister', 'etanol', 'hitam', 'dari', 'hantu']","['sjfitwider', 'apelah', 'abang', 'pusing', 'diriku', 'negara', 'mocking', 'pertamina', 'silahkanlah', 'mocking', 'bahlil', 'mister', 'etanol', 'hitam', 'hantu']",sjfitwider ape abang pusing diri negara mocking pertamina silah mocking bahlil mister etanol hitam hantu,negative
bahlil ajg pertamina ajg etanol ajg ya kali sehari bensin habis 3 bar,bahlil pertamina etanol kali sehari bensin habis,bahlil pertamina etanol kali sehari bensin habis,"['bahlil', 'pertamina', 'etanol', 'kali', 'sehari', 'bensin', 'habis']","['bahlil', 'pertamina', 'etanol', 'kali', 'sehari', 'bensin', 'habis']",bahlil pertamina etanol kali hari bensin habis,negative
@kumparan Bukan masalah etanol nya BLENDING hasil kilang Pertamina yg jelek org kilang pertamina aja belum Euro 5 bahkan Euro 4 aja kayanya gak semua kilang wkwkwk,kumparan bukan masalah etanol blending hasil kilang pertamina jelek kilang pertamina belum euro bahkan euro kayanya semua kilang wkwkwk,kumparan bukan masalah etanol blending hasil kilang pertamina jelek kilang pertamina belum euro bahkan euro kayanya semua kilang wkwkwk,"['kumparan', 'bukan', 'masalah', 'etanol', 'blending', 'hasil', 'kilang', 'pertamina', 'jelek', 'kilang', 'pertamina', 'belum', 'euro', 'bahkan', 'euro', 'kayanya', 'semua', 'kilang', 'wkwkwk']","['kumparan', 'etanol', 'blending', 'hasil', 'kilang', 'pertamina', 'jelek', 'kilang', 'pertamina', 'euro', 'euro', 'kayanya', 'kilang', 'wkwkwk']",kumpar etanol blending hasil kilang pertamina jelek kilang pertamina euro euro kaya kilang wkwkwk,negative
@xremiums Ngeles @pertamina busi disalahin..tolol..? Belum pernah uji kelayakan BBM+Etanol ya kan..?,xremiums ngeles pertamina busi disalahintolol belum pernah kelayakan bbmetanol,xremiums ngeles pertamina busi disalahintolol belum pernah kelayakan bbmetanol,"['xremiums', 'ngeles', 'pertamina', 'busi', 'disalahintolol', 'belum', 'pernah', 'kelayakan', 'bbmetanol']","['xremiums', 'ngeles', 'pertamina', 'busi', 'disalahintolol', 'kelayakan', 'bbmetanol']",xremiums ngeles pertamina busi disalahintolol layak bbmetanol,negative
Seorang pemilik bengkel di Sidoarjo viral setelah mengunggah video dengan ucapan terima kasih etanol busiku laku semua. Dua hari kemudian ia mengunggah video baru yang memperlihatkan enam orang dari Pertamina datang ke bengkelnya untuk melakukan investigasi. Kedatangan itu https://t.co/Yt8f7uLAxH,seorang pemilik bengkel sidoarjo viral setelah mengunggah video dengan ucapan terima kasih etanol busiku laku semua hari kemudian mengunggah video baru yang memperlihatkan enam orang dari pertamina datang bengkelnya untuk melakukan investigasi kedatangan tcoytfulaxh,seorang pemilik bengkel sidoarjo viral setelah mengunggah video dengan ucapan terima kasih etanol busiku laku semua hari kemudian mengunggah video baru yang memperlihatkan enam orang dari pertamina datang bengkelnya untuk melakukan investigasi kedatangan tcoytfulaxh,"['seorang', 'pemilik', 'bengkel', 'sidoarjo', 'viral', 'setelah', 'mengunggah', 'video', 'dengan', 'ucapan', 'terima', 'kasih', 'etanol', 'busiku', 'laku', 'semua', 'hari', 'kemudian', 'mengunggah', 'video', 'baru', 'yang', 'memperlihatkan', 'enam', 'orang', 'dari', 'pertamina', 'datang', 'bengkelnya', 'untuk', 'melakukan', 'investigasi', 'kedatangan', 'tcoytfulaxh']","['pemilik', 'bengkel', 'sidoarjo', 'viral', 'mengunggah', 'video', 'ucapan', 'terima', 'kasih', 'etanol', 'busiku', 'laku', 'mengunggah', 'video', 'enam', 'orang', 'pertamina', 'bengkelnya', 'investigasi', 'kedatangan', 'tcoytfulaxh']",milik bengkel sidoarjo viral unggah video ucap terima kasih etanol busi laku unggah video enam orang pertamina bengkel investigasi datang tcoytfulaxh,negative
Pertamina pakai campuran 3.5% etanol : wah goblok pertamina motor gw jd rusak gara2 pakai bbm dari pertamina... Bobibos baham baku dari tanaman = etanol 100% : mantap karya anak bangsa yg bikin pertamina bangkrut... PE-nya pertamina cuma bisa ketawa lihat kelakuam netizen...,pertamina pakai campuran etanol goblok pertamina motor rusak gara pakai dari pertamina bobibos baham baku dari tanaman etanol mantap karya anak bangsa bikin pertamina bangkrut penya pertamina cuma bisa ketawa lihat kelakuam netizen,pertamina pakai campuran etanol goblok pertamina motor rusak gara pakai dari pertamina bobibos baham baku dari tanaman etanol mantap karya anak bangsa bikin pertamina bangkrut penya pertamina cuma bisa ketawa lihat kelakuam netizen,"['pertamina', 'pakai', 'campuran', 'etanol', 'goblok', 'pertamina', 'motor', 'rusak', 'gara', 'pakai', 'dari', 'pertamina', 'bobibos', 'baham', 'baku', 'dari', 'tanaman', 'etanol', 'mantap', 'karya', 'anak', 'bangsa', 'bikin', 'pertamina', 'bangkrut', 'penya', 'pertamina', 'cuma', 'bisa', 'ketawa', 'lihat', 'kelakuam', 'netizen']","['pertamina', 'pakai', 'campuran', 'etanol', 'goblok', 'pertamina', 'motor', 'rusak', 'gara', 'pakai', 'pertamina', 'bobibos', 'baham', 'baku', 'tanaman', 'etanol', 'mantap', 'karya', 'anak', 'bangsa', 'bikin', 'pertamina', 'bangkrut', 'penya', 'pertamina', 'ketawa', 'lihat', 'kelakuam', 'netizen']",pertamina pakai campur etanol goblok pertamina motor rusak gara pakai pertamina bobibos baham baku tanam etanol mantap karya anak bangsa bikin pertamina bangkrut penya pertamina ketawa lihat kelakuam netizen,negative
NDASMU A TAK UNCALI MERCON BUSI? AKU WINGI GANTI BUSI SEK PANCET YO COK JANCOK GANTI PEMPERS E FUEL PUMP KU YO SEK PANCET COK SING JELAS OJOK NGGAE ETANOL BANGSAT !!! @pertamina,ndasmu uncali mercon busi wingi ganti busi pancet jancok ganti pempers fuel pump pancet sing jelas ojok nggae etanol bangsat pertamina,ndasmu uncali mercon busi wingi ganti busi pancet jancok ganti pempers fuel pump pancet sing jelas ojok nggae etanol bangsat pertamina,"['ndasmu', 'uncali', 'mercon', 'busi', 'wingi', 'ganti', 'busi', 'pancet', 'jancok', 'ganti', 'pempers', 'fuel', 'pump', 'pancet', 'sing', 'jelas', 'ojok', 'nggae', 'etanol', 'bangsat', 'pertamina']","['ndasmu', 'uncali', 'mercon', 'busi', 'wingi', 'ganti', 'busi', 'pancet', 'jancok', 'ganti', 'pempers', 'fuel', 'pump', 'pancet', 'sing', 'ojok', 'nggae', 'etanol', 'bangsat', 'pertamina']",ndasmu uncali mercon busi wing ganti busi pancet jancok ganti pempers fuel pump pancet sing ojok nggae etanol bangsat pertamina,negative
@pertamina Saya adlh satu korban motor brebet skrng beralih beli BBM ke swasta. Rasanya susah untuk percaya lagi. Beberapa waktu lalu marak Pertamax dioplos skrng pertalite dicampur etanol. Para pemangku kebijakan tolonglah buat kebijakan yg pro terhadap rakyat jangan membuat susah rakyat.,pertamina saya adlh satu korban motor brebet skrng beralih beli swasta rasanya susah untuk percaya lagi beberapa waktu lalu marak pertamax dioplos skrng pertalite dicampur etanol para pemangku kebijakan tolonglah buat kebijakan terhadap rakyat jangan membuat susah rakyat,pertamina saya adalah satu korban motor brebet sekarang beralih beli swasta rasanya susah untuk percaya lagi beberapa waktu lalu marak pertamax dioplos sekarang pertalite dicampur etanol para pemangku kebijakan tolonglah buat kebijakan terhadap rakyat jangan membuat susah rakyat,"['pertamina', 'saya', 'adalah', 'satu', 'korban', 'motor', 'brebet', 'sekarang', 'beralih', 'beli', 'swasta', 'rasanya', 'susah', 'untuk', 'percaya', 'lagi', 'beberapa', 'waktu', 'lalu', 'marak', 'pertamax', 'dioplos', 'sekarang', 'pertalite', 'dicampur', 'etanol', 'para', 'pemangku', 'kebijakan', 'tolonglah', 'buat', 'kebijakan', 'terhadap', 'rakyat', 'jangan', 'membuat', 'susah', 'rakyat']","['pertamina', 'korban', 'motor', 'brebet', 'beralih', 'beli', 'swasta', 'susah', 'percaya', 'marak', 'pertamax', 'dioplos', 'pertalite', 'dicampur', 'etanol', 'pemangku', 'kebijakan', 'tolonglah', 'kebijakan', 'rakyat', 'susah', 'rakyat']",pertamina korban motor brebet alih beli swasta susah percaya marak pertamax oplos pertalite campur etanol mang bijak tolong bijak rakyat susah rakyat,negative
@skubipap @tilehopper bensin pertamina paling kotor didunia untuk sekelas literate people cities yeah motor gw brebet jauh sebelum etanol 10% ada. Bahkan itu etanol udah ada di awal 2025 dgn kadar random around 2-3% di daerah distribusi. Ntah itu yg bikin spbu trucuk kemasukan air or kandang ayam,skubipap tilehopper bensin pertamina paling kotor didunia untuk sekelas literate people cities yeah motor brebet jauh sebelum etanol bahkan etanol udah awal  kadar random around daerah distribusi ntah bikin spbu trucuk kemasukan kandang ayam,skubipap tilehopper bensin pertamina paling kotor didunia untuk sekelas literate people cities yeah motor brebet jauh sebelum etanol bahkan etanol sudah awal kadar random around daerah distribusi entah bikin spbu trucuk kemasukan kandang ayam,"['skubipap', 'tilehopper', 'bensin', 'pertamina', 'paling', 'kotor', 'didunia', 'untuk', 'sekelas', 'literate', 'people', 'cities', 'yeah', 'motor', 'brebet', 'jauh', 'sebelum', 'etanol', 'bahkan', 'etanol', 'sudah', 'awal', 'kadar', 'random', 'around', 'daerah', 'distribusi', 'entah', 'bikin', 'spbu', 'trucuk', 'kemasukan', 'kandang', 'ayam']","['skubipap', 'tilehopper', 'bensin', 'pertamina', 'kotor', 'didunia', 'sekelas', 'literate', 'people', 'cities', 'yeah', 'motor', 'brebet', 'etanol', 'etanol', 'kadar', 'random', 'around', 'daerah', 'distribusi', 'bikin', 'spbu', 'trucuk', 'kemasukan', 'kandang', 'ayam']",skubipap tilehopper bensin pertamina kotor dunia kelas literate people cities yeah motor brebet etanol etanol kadar random around daerah distribusi bikin spbu trucuk masuk kandang ayam,negative
@xremiums Kok bisa busi orang rusak bareng sehabis isi pertalite eh etanol ding @pertamina,xremiums bisa busi orang rusak bareng sehabis pertalite etanol ding pertamina,xremiums bisa busi orang rusak bareng sehabis pertalite etanol ding pertamina,"['xremiums', 'bisa', 'busi', 'orang', 'rusak', 'bareng', 'sehabis', 'pertalite', 'etanol', 'ding', 'pertamina']","['xremiums', 'busi', 'orang', 'rusak', 'bareng', 'sehabis', 'pertalite', 'etanol', 'ding', 'pertamina']",xremiums busi orang rusak bareng habis pertalite etanol ding pertamina,negative
@ferdinand_mpu pertanyaanya simple @pertamina punya alatnya nggak?? kalo punya kok masih bermasalah?? kalo tidak keuntungan dari penjualan BBM buat apa?? masih mendukung BBM pake etanol kah sempak merah?? https://t.co/VjgnGhRVGS,ferdinandmpu pertanyaanya simple pertamina punya alatnya nggak kalo punya masih bermasalah kalo tidak keuntungan dari penjualan buat masih mendukung pake etanol sempak merah tcovjgnghrvgs,ferdinandmpu pertanyaanya simple pertamina punya alatnya tidak kalau punya masih bermasalah kalau tidak keuntungan dari penjualan buat masih mendukung pakai etanol sempak merah tcovjgnghrvgs,"['ferdinandmpu', 'pertanyaanya', 'simple', 'pertamina', 'punya', 'alatnya', 'tidak', 'kalau', 'punya', 'masih', 'bermasalah', 'kalau', 'tidak', 'keuntungan', 'dari', 'penjualan', 'buat', 'masih', 'mendukung', 'pakai', 'etanol', 'sempak', 'merah', 'tcovjgnghrvgs']","['ferdinandmpu', 'pertanyaanya', 'simple', 'pertamina', 'alatnya', 'bermasalah', 'keuntungan', 'penjualan', 'mendukung', 'pakai', 'etanol', 'sempak', 'merah', 'tcovjgnghrvgs']",ferdinandmpu pertanyaanya simple pertamina alat masalah untung jual dukung pakai etanol sempak merah tcovjgnghrvgs,negative
