steming_data,pseudo_label,confidence
bonus saldo install shopeepay upgrade spay plus login akun shopee pasuk kode referral ffjwvwp diskon promo freelance receh zonauang prabowo jerome onad onic gibran bahlil jokowi purbaya budi arie pertamina etanol tcoczihhcfih,negatif,0.4614359147132833
miris tinggal indonesia bencana aceh bantu harga pertamax shell bensin diilangin biar warga beli pertamina kerja gaji guru,neutral,0.429341433400516
masgah ijin jump curang pertamina sedia base fuel oplos etanol pertamina lepas mafia tolakbbmetanolpertamina stopdanadilimafiakkn,positif,0.46580424688296035
gampankmonther sharpandshark ron kemarin etanol swasta beli pertamina,negatif,0.3552140416778993
patuh mafia migas pertamina bantu mafia migas kenyang semenamena rugi negara bangsa rakyat dukung kelola fair etanol mafia henti bermainmain,negatif,0.4478606767391953
darimana campur etanol saing spbu swasta saing sehat pertamina tingkat kualitas bbmnya turun kualitas rakyat paksa pakai pertamina jelek tcoucuavfxybd,positif,0.42320638594022003
pertamina salah urus polusi tahun jual pertalite pertamax tcozzlhasdkxm,positif,0.4623007748033789
riset etanol aman mesin simpan distribusi spbu swasta nolak beli base fuel pertamina kandung etanol alas takut mesin rusak takut margin turun tcomjahbtarj,positif,0.5488254518226802
etanol bahaya olah negara waras etanol usaha olah pertamina prenk pertamax oplos tcoeaviyjtjye,positif,0.3967415902774549
agusyudhoyono agusyudhoyono apbn baik infra sana apbn aju regional pertamina laksana outsourch minyak madurabilang keponakan bambang sugiharto mantan pasar regional usul,negatif,0.393614901548057
tunggang boros banget asa etanol pertamina,positif,0.5611907240545464
respons pertamina rencana perintah campur etanol persen jenis bensin dorong transisi energi kurang emisi tcovugakghqd,negatif,0.4178713452750228
pertamina bidik peluang etanol murah bensin minyak pertamina etanol bahanbakar ramahlingkungan tcohioqohphj,positif,0.5116463378639375
habis ngisi bensin full tank brebet tinggal indonesia etanol bagus kualitas pertamina bagus bahlil kualitas pokokknya benerin inovasi,positif,0.38888256304568136
rezeki kadang jalan sangka kayak saharuddin sopir angkot hidup bangkit rdmp balikpapan jalan kilang balikpapan bikin sektor umkm hidup kerja nyata kilang pertamina internasional,neutral,0.4232120619473781
pertamina kemarin pertamax oplos pertalite oplos etanol,negatif,0.34862377537858147
putrasibaga antoniuscdn prabowo cakkhum paltihutabarat paltiwest arypraske anakogi pakarintelek campur etanol rendah aman mesin kendara modern sebab korosi nonkompatibel pertamina tegas pertalite campur etanol hoaks sumber resmi info baru,positif,0.5770236202466149
msaiddidu prabowo pertamina komisaris tolol mabok banyak minum bensin etanol bumnidn,positif,0.3501091623381971
thethanos rampok triliun rampok pertamina,positif,0.6252095222446857
balikpapan catat tingkat aktivitas ekonomi sektor salah picu kilang balikpapan gerak rdmp balikpapan energi kilang hidup warga tumbuh kilang pertamina internasional,negatif,0.41778361453466595
heran dakwa rugi negara anak riza chalid klaim kontrak pertamina tcoiwumjolex,negatif,0.35416512324931043
ocabiw chat polarisstellar alam tembus bumn shopee paragon pertamina dll,neutral,0.4771713660031676
pertamina campur etanol toyota efek mobil tcofcwcab,negatif,0.43434728575005516
arypraske hopeemak gmwarrios firzahusain dkutacimi dcristnugroho cintada billray antoniuscdn baca isinyapertalite pakai campur bioetanolbtw alergi etanol garagara shell beli bensin pertamina sesuai spek maumurni campur memang kasih campur etanol pertamina,positif,0.38278795149268524
direktur utama pertamina patra niaga mars legowo putra turun langsung tinjau lokasi banjir medan selamat kerja butuh dasar ungsi penuh,negatif,0.36808569812136094
investasi angka aktivitas ekonomi padat kilang pertamina internasional dorong manfaat lanjut,negatif,0.4566208021948476
fakta kait etanol simak biar korban hoaks bbmetanol pertamina etanol tcolsfztfzh,positif,0.4865214017399801
redam anjing banget tangki motor tahun usia motor ulah campur etanol pertamina bahlil,positif,0.41663697289596774
xeesob chat polarisstellar alam tembus bumn shopee paragon pertamina dll,neutral,0.4771713660031676
ayaapunzel bikin polarisstellar alam tembus bumn shopee paragon pertamina dll,neutral,0.4958553413696384
comeback been waiting coach bulentkarslioglu officially back with jakarta pertamina enduro musim bukti kualitas gelar juara coach bulentkarslioglu penuh optimis tcosawwpufvoi,neutral,0.3894574971333169
pertamina kerah sulit medan bantu kirim udara camat rantau aceh tamiang tcoiiihnv,positif,0.45016140208808614
earthilys tvindonesiawkwk berita gambar palsu meme edit asli perintah wajib campur etanol pertamina kurang impor bensin ramah lingkung tuju presiden prabowo menteri esdm bahlil lahadalia sumber cnbc,positif,0.41175474947436347
lihat video wawali sidak keluh pertalitenya alkohol duga kandung etanol fixed itscampus zara bpknri pertamina spbu jatim duga campur hasil tconycuxntr,negatif,0.3925677555476558
spbu siaga libur natal pertamina bangkabelitung tcoccfzfiygl,negatif,0.39969540994295416
vikry antoniuscdn prabowo cakkhum paltihutabarat paltiwest arypraske anakogi pakarintelek spbu swasta bpakr vivo shell batal beli pertamina kandung etanol base fuel impor anggap sesuai spesifikasi pesan mes murni campur campur etanol,positif,0.5555948877376148
jaga lancar mobilitas masyarakat pertamina siap spbu layan butuh masyarakat pasok pertamina bangkabelitung tcouvjwbqvy,neutral,0.4014446196564072
ngono seng ngisi bensin pertamina kakean omong ngarepku jaluk lakok isi ngono cengar cengir ngentot fokus antri akeh bangsat omong omong fokus,negatif,0.359555480936137
kemlonih alvinlie pertamina kandung etanol kualitas rendah murni rusak mesin tcooaldyzxrvo,positif,0.4437547148195942
hst elonmusk bahlillahadalia prabowo coba bioetanol gelar spbu kayak pertamax green spbu pertamina data cnbc esdm oktober langsung tugas spbu penasaran haha arak tebu etanol minum bikin diabetes amarga gulane campur,positif,0.39613923283860253
tangan bencana aceh tamiang cepat kendara angkut bahan bakar minyak alat berat pertamina menteri kerja menteri hubung gerak medan wilayah dampak tcogldfwhws,positif,0.3908591211924585
jussemangkaaaa huhuhu pertamina sdar liter,positif,0.39832384338861876
grok calomagang pakai merek lokal pertamina pengin aneh aneh,positif,0.4204261294644338
muncul keluh pertalite bikin motor mogok mbrebet publik ramai opini bentuk fakta info viral benar fakta panik pertamina pertalite etanol mesin berita viral tcoqncqirmnlk,negatif,0.35124076181286973
orasiid pertamina dorong tahan pangan program desa energi berdikari lihat lengkap tcomryorpuqt,negatif,0.4015368424642054
artikel bilang alas usaha swasta nolak etanol pertamina rusak rancang blending milik swasta mau kasih etanol biar campur etanol terima,positif,0.4868809417631716
biar mobil rusak beli biar bengkel banjir order tcoezbczy,positif,0.49580406214022277
arsipaja janji pertamina impor base fuel murni spbu asing kandung etanol paksa beli,positif,0.3731253816115071
suchie kapai bensin pakai ditambahin etanol bensin pertamina etanol,negatif,0.3581919285399684
pertamina promo beli laku desember tcohvnetecr,negatif,0.4506329499499331
unimessor bikin polarisstellar alam tembus bumn shopee paragon pertamina dll,neutral,0.4958553413696384
diemdiem bahlil naikin harga bbmdasar kampret tcoixvgwhzmm,negatif,0.414395495863044
presidenkopi masinton sumber sakit negara cina rampok nikel morowali kuasa juta hectar akibat banjir rampok duit negara blbi asabri kondensat pertaminadll beli paksa tanah pribumi salah lawan hapus,neutral,0.37526848350805364
sirkuit pertamina mandalika umum kalender event tcoutpbenfpu,positif,0.6252095222446857
tutup curang buka gegara rapat spbu swasta anggota dprri bahlul etanol boleh jual spbu pertamina indonesia berpaa kandung etanol,positif,0.40777201078692976
etanol campur oktan bakar sempurna ramah lingkung luar negeri oktan campur etanol bakar sempurna tcoiizulzdhc tcobcihvbgx,neutral,0.4575707358610504
salut terima kasih pertamina,positif,0.36357925349182457
pertamina patra niaga produk jenis petralite edar spbu produksi etanol pertamina bangkabelitung patriot tcoxunsuwlszp,negatif,0.4887357225019358
pertamina dukung rencana perintah wajib etanol tcortkudjah,positif,0.39565707455751425
wandystjk wandystjk pertamina campur etanol campur entar campur tahi bahlil,negatif,0.3618616150690882
panik dengar kota habis sadar wilayah pertamina patra niaga otomatis salur aman,negatif,0.4266347179002747
ramai masalah bensin campur ethanol pertamina jual bensin etanol nama pertamax green maka kagak keluh geetuu tcozhbwxtkfe,neutral,0.482781949290581
momen menang pertamina enduro proliga ulang mojisports proliga dukungtimnasvoliindonesia tcogmnppyqdx,negatif,0.3667933176114566
pertamina persero cepat pulih pasok distribusi bahan bakar minyak kawasan dampak mudah akses layan warga tcoabqoocj,neutral,0.44865665736674254
menteri esdm bahlil lahadalia pertamina patra niaga coba masuk labuh sibolga sumatera utara atas langka spbu sulit kapal bawa sandar labuh sibolga akibat dampak bencana tcoatfaovxkl,negatif,0.5416680278426791
aiptu suprapto bhabinkamtibmas polsek baung polres serdang bedagai polda sumatera utara laksana giat aman monitoring isi pertamax pertamina pertashop desa gajah tconusbssnv,positif,0.39790025883073893
presidenkopi bensin ditambahin etanol pertamina tambah etanol,negatif,0.4136893712933481
yusufdumdum etanol pertamina bahlil golkarpedia rusak motor bela kok,positif,0.451812282035442
asem busuk campur etanol modar kendara diam demo etanol pertamina brebet,positif,0.4519537565724108
tcoeesstycje mobilitas masyarakat tingkat libur pertamina prediksi konsumsi bahan bakar lonjak rinciannya,neutral,0.4475999649922057
imwinter tumbuh investasi peran kilang pertamina internasional signifikan banget,negatif,0.45996111136917966
ikgf rencana oplos etanol turut asli bhkan korupsi pertamina,negatif,0.5225494122892476
terimakasih supir tangki pertamina,neutral,0.3801270930368584
pertamina dukung campur etanol tcojagzyieinc,positif,0.4447756849253965
sebab rusa hutan ampas tanah masyarakat pakai kebun tebu rencana batal tcoodmemnpdd,positif,0.4447181705778158
akunaslisumpah exceldee dianbara etanol sifat higroskopis tarik kelembaban sebab korosi karat tangki bensin logam baja motor model rancang campur etanol pertalite resmi pertamina kandung etanol,positif,0.40698029418362
lvyrnt pertamina kasih reward jabat bonus tunjang,neutral,0.4801808450405753
susnog pertamina bumnidn kementerianesdm danantarari dprri akibat etanol,negatif,0.4285255117421295
langka sumut dampak bencana ulah mafia tcorfqthvmmv bobbynasution divhumaspolri bumnidn pertamina prabowo,neutral,0.3934481976397433
toyota heran pertamina kandung etanol persen ribut tcotzfenv bangsa suka provokasi pdiperjuangan polkamri,negatif,0.35822964741995583
lapk desak pertamina tingkat transparansi stok pasca banjir susul medan tcoflooee,positif,0.47021939481195013
moowniing ketemu mitos tunggu pertamina pekanbaru,positif,0.6252095222446857
infojktcom kadar etanol persen pertamina nilai aman timbul teknis kendara modern,neutral,0.4153452290301815
azzamalifaditya ekonomi masyarakat tingkat kilang pertamina,positif,0.4440808319732944
dosafotografer zakkyabdil puzzwles pertamina rugi gara gara kulu kulu,negatif,0.42667014827804367
mdyasmara ribut mesin bas kandung etanol diributin pembelipemilik spbu swasta order murni base oilbbm pertamina kasih etanol racik sendiri situ nilai kualitas spbu swasta pertamina,negatif,0.4085877557840049
etanol bahlul baik bensin pertamina campur dawet mogok minum,neutral,0.4050253325571328
nikooab ngelarisi pertamina rasah akeh,positif,0.6252095222446857
soyunsong jimans bal pertamina,positif,0.4713052448584989
lahriansyahilla pertamina toyota kandung etanol aman kendara,positif,0.5644311225974038
indranatatama kerja hebat kilang pertamina internasional,negatif,0.4850990677534287
doneh minggu kemarin baca berita etanol kandung boros etanol shell persentase etanol pertamax diakalin pertamina bangsat mentang kompetitor,positif,0.4001890507989745
txtdrimedia busung lapar kena bensin campur etanol harga bensin murah daripd pertamina,positif,0.3444885533665332
pertamina tuju campur etanol persen tcohkhforage,neutral,0.38724725103524427
congkenedoewa anakogi kandung etanol pertamina terap luas bijak tuju presiden prabowo rilis kurang emisi pertamina campur etanol pertamax green,positif,0.42370833238748307
postraumatized araafiaprilia kendara indonesia campur etanol bahan bakar produksi pertamina pertalite kendara alami isi pertamax,neutral,0.5350525246568293
jalan raya ajang balap formula model indy pakai etanol motor mobil plhn energi hybrid fermentasi oksigen ngegas pakai etanol takut puluh terdakaa oplos pertamina bebas tcocupjcwuw,negatif,0.4107344758232979
bubbyeing naufalsyauqiht jimans daerah jawa pertamina,neutral,0.43769338165852284
pasok alat berat pertamina pupr kemenhub lancar medan aceh tamiang jalur darat akses buka lebar aman tcopbousveu,negatif,0.3913533627435898
pertamina bantu listrik harga mahal bumn,negatif,0.43876075808107773
pertamina pertalite aceh rp ulah jual resmi tconibgpy,positif,0.3690487437906532
pagi manggar motor yanti warung makan penuh rdmp balikpapan jalan pesan karyawan kilang balikpapan sepi umkm kelas berkat kilang pertamina internasional tcouvllfjnc,negatif,0.4326976381646951
tweetajeaje ptgas sbgian pertamina rugi hahaha,negatif,0.3994427999596286
simfoniswasta nilai masyarakat kilang pertamina,positif,0.3696076296479767
jondhez enak kantor pertamina korup kasih etanol rugi provider banyak,positif,0.3966011746459012
energi bangsa manfaat daerah proyek rdmp balikpapan tumbuh ekonomi lokal bukti lonjak pdrb kapita balikpapan sinergi kilang balikpapan kilang pertamina internasional kuat tahan energi nasional,negatif,0.4175608809094434
juru bicara komando posko tangan darurat bencana hidrometeorologi murthalamuddin aceh ringan isi subsidi bebas guna barcode tangan bencana tanggap darurat tcoqsvrwqsmuu,negatif,0.3895500803698756
lahriansyahilla kandung etanol pertamina pilih aman ramah lingkung,positif,0.5229110258455104
pertamina patra niaga pasti pasok energi sumatera aman tcospikhzuf,negatif,0.4514191788867968
somexthread bahlil hidup abang sila pertamina kasih etanol gpp biar swasta masuk shell vivo biar rakyat pilih parah abang ngeri abang rakyat ngamuk abang,neutral,0.3634561006712371
kilang pertamina operasi aman butuh libur nataru tcogmvlzhnh,negatif,0.34511613110428857
dirjen migas menteri esdm laode sulaeman spbu swasta shell indonesia beli bahan bakar dasar base fuel pertamina tolak pasok kualitas internal usaha campur etanol aman tcofcqzhltztw,positif,0.382750827901468
pertamina untung wkwk,positif,0.46514929899703883
pertamina pertalite kandung etanol simak jelas lengkap alas ilmiah edar tcojdvfldfizy,negatif,0.3909886364336138
teguhfriend goodrecom langka pasok spbu swasta shell vivo agustus kuota impor habis cepat akibat lonjak minta nasional enggan beli base fuel pertamina lantar kandung etanol lebih standar,negatif,0.4608272398232303
lonjak pdrb investasi rekam balikpapan peran rdmp balikpapan kilang balikpapan kilang pertamina internasional apresiasi wali kota kontribusi hidup rantai pasok kuat ekonomi kota,negatif,0.4541334970063384
rencana pertamina hadir campur etanol persen sambut positif produsen sepeda motor indonesia salah satu motor indonesia baca lengkap tcofmplnridz pertamina tvsmotorindonesia tcoavpmwjov,negatif,0.3806348261498031
rdmp balikpapan proyek efek benar rasa warga peluang kerja usaha rame ekonomi kota ngebut kolaborasi perintah kota pertamina nyata banget hasil,negatif,0.4870955193836846
pertamina persero etanol impor produksi pertamax green bioetanol lokal nilai penuh standar mutu mahal ungkap direktur eksekutif puskep simak lengkap tcojquqadeum tcorwqqmmws,negatif,0.39737760912074177
gagitugie grok distribusi surabaya spbu spbu nozzle maksud etanol bahaya sebab gaakan rilis publik pertamina kaji,positif,0.5394380209537771
azzamalifaditya good kilang pertamina internasional,negatif,0.5209106723635333
menteri energi sumber daya mineral esdm bahlil lahadalia menep anggap etanol bagus bahan bakar minyak anggap muncul spbu swasta batal beli base fuel pertamina bilang etanol bagus tcophsqnk,positif,0.4387592122154777
hendrohomeira kompascom dasar nyata resmi pertamina patra niaga artikel kompas tempo cnbc indonesia pertalite campur etanol produksi hidrokarbon murni sesuai spesifikasi esdm hoaks muncul sederhana salah interpretasi,negatif,0.45088745902914235
ingfokan adityarimba donpandiho kandung etanol senyawa ulah aseng bismillah dirut pertamina tcokwxlukedis,positif,0.46799213122821925
spradiiik pertamina patra niaga komitmen jaga sedia libur natal ama jalan jalan pertamina bangkabelitung tcowwqyqgo,neutral,0.3869005810630223
twiramizu oplos etanol bahlil anjim ngerusak mesin kudu ganti pakai pertamax atoga pertamina biar aman,positif,0.5320100515153152
hirukpikuk proyek refinery development master plan rdmp balikpapan hidup seharihari warga kilang alami ubah signifikan putar uang kilang pertamina international balikpapan tcoqlnvreyt,negatif,0.5102886517728933
aceh pertamina antri spbu lumrah sumatra sulawesi speaking from experience saat normal kayak,negatif,0.4158985039347222
konten pertamina bismillah shot lolos,positif,0.6252095222446857
soundofyogi lanjar jaya fokus tan sawah sawit jaga kilang pertamina,negatif,0.39476764719083574
arsipaja pertamina pagar laut morowali wosh narasi prabowo tebak ujung alias nguap bersntuhan oligarki genk solo mleheoy cecunguk tumbalin,negatif,0.38015562388832097
imajinasi bilang kait stimulus rakyat indonesia alih kendara listrik bisnis batu bara roket skenario imajinasi swasta cabut pertamina satu kekeuh etanol kendara tinggal beli kendara listrik,neutral,0.3610845641530102
direktur utama pertamina simon aloysius mantiri dukung penuh bijak perintah terap campur persen etanol bahan bakar bensin langkah jalan upaya transisi energi bersih kurang emisi tcowxsszzkxa,neutral,0.5674316028691005
presidenkopi maksud etanol serap udara kandung air atur terap teknologi pertamina karus modifikasi main campur bahlul tcotmcqikws,positif,0.3911388976980002
obrol mas ahass keluh kadang mati bahan bakar campur kayak etanol bikin dalem mesin cepat kerak hati pertamina anjing,neutral,0.5175593051645349
bahlillahadalia pertamina oplos etanol tcoldnwjex,positif,0.3600074998215434
sumatera selatan jawa kalimantan tugas wilayah operasional sumatera taja adadikompas tcopcerhwnot,positif,0.42982306108993645
lahriansyahilla kandung etanol pertamina aman mutu spesifikasi teknis beda operator,positif,0.5331701507960186
ceceplagi presidenkopi pertamina purbaya harga modal pertalite doang etanol harga jual pertamina turun alagi campur etanol bensinpertalite murni campur,positif,0.41119566209254155
perintah pertamina pasti papua hambat nataru nataru tcoargoukrdn,positif,0.37241607517489916
tjahajababimu redam pertamina etanol sifat higroskopis serap udara sebab korosi tangki bahan bakar pompa kendara lindung khusus karat sumbat filter ganggu alir bensin,neutral,0.44527140616269123
diorkaditoy sumadiseloguno mardigu dasar info kini sepakat spesifik shell pertamina batal kait impor etanol shell diskusi tuntut utama base fuel etanol sertifikat spesifikasi mutu,positif,0.3755698438764418
sumber suara surabaya tcorfibkxzn,negatif,0.3836653673717513
jimans jakarta kota kota shell vivo pertamina aneh banget,positif,0.3806835288949394
selebtwitmobil starlink elonmusk pln pertamina telkomsel telkomindonesia asih gratis rugi pesain,negatif,0.3994427999596286
hujan banjir macet pakai pertamina sehatsehat guna bensin bahenol bahlil etanol,positif,0.4191646678158235
isi orang kerja lotte chemical chandra asri krakatau posco pertamina dongjin,negatif,0.42969665003746566
arsipaja bahlillahadalia stroke nama investor suka jual kayak jaga kualitas kayak bahlil duga bisnis etanol supplier pertamina,neutral,0.47713082249641503
tvonenews shall jual bensin pakai etanol performa mesin bagus pertamina campur etanol performa mesin jelek kepala masyarakat alas,positif,0.3646570861089614
somexthread bahlillahadalia pertamina tutup bohong murni oplos klean rusak kandung etanol besar persen kadar etanol,negatif,0.4286192108888056
bohong main oplos rendah akibat oplos rusak nama pertamina tambah persen etanol juan oplos dtambah etanol vivo etanol persen langsung tolak pertamina,negatif,0.36140778339252555
upaya perintah tekan emisi kendara angin segar rencana terap bahan bakar campur etanol biofuel baca lengkap tcoatwaezls turunkanemisisulfur bbmetanol pertamina tcowiqhkivjll,neutral,0.3925162287395205
rchristtopher arsipaja defisit abang lihat pertamina etanol bangsat,positif,0.39428406511554764
cangkemu omong seng genah kota semarang spbu cuman pertamina mulane omong ndelok grassroots bangsat,negatif,0.38744554819871235
aceh pertamina bnpbindonesia puspentni sedih,negatif,0.5452766405121187
selebtwitmobil starlink elonmusk pln pertamina telkomsel telkomindonesia telkomsel asih takut suruh syukur,negatif,0.4225097643874965
wrahardian arypraske faizalassegaf jonan sama ahok jonan kerja prestasi bicara hasil nyata ahok coba sebut prestasi besar bicara motor larang masuk sudirman warga akuarium gusur pertamina adem ahok overrated,negatif,0.432691262158956
investasi piring rdpm balikpapan alir rejeki hari balikpapan dar angka cerita tulis kilang pertamina internasional kilang balikpapan,positif,0.4635032390544102
adekang prediksi gempa cianjur cipanas gempa pagi sumber volcano discovery signifikan pertamina kontroversi korupsi impor minyak rugi rpt sumber wikipedia telepati profesor mantap,positif,0.4004389610043105
soyunsong jimans sayang mesin doang pertamina kali isi,positif,0.43768703776501605
dampak nyata rdmp balikpapan bukti data balikpapan catat tingkat signifikan pdrb balikpapan pasca operasi proyek upgrade kilang pertamina internasional walikota balikpapan apresiasi sebut rdmp game changer bangun daerah,positif,0.39127045978810693
seputarenergi perspektif industri otomotif kadar etanol persen pertamina nilai aman timbul teknis kendara modern,neutral,0.4438043771759904
prabowo tolong sikat mafia pertamina aspal curah jawa timur langka tahan keluar akibat proyek jalan hotmix tunda,neutral,0.402580452778497
songsong libur natal pertamina patra niaga jatimbalinus aktif satgas nataru satgasnataru pertamina tcoudevrtzrqb,neutral,0.46764029363109744
alas kemarin marah paksa pertamina shells habis bahlil sial sumpahin ketiban etanol,neutral,0.3902289557767522
pttransjakarta terminal kalideres rute stop pertamina langsung halte pesakih pospol daan mogot,positif,0.5614459729893704
oceanita parah banjir bandang orang tua tidur didlm mesjid pertamina ngungsi tidur atap lebaran maren medan orang tua alhamdulillah jemput minggu,negatif,0.48175395032237656
toyota nilai debat pertamina kandung etanol wakil presiden direktur tmmin azam negeri campur etanol bahan bakar thailand e tcocgpqmrrhuz,neutral,0.4434522504309276
turtlelittle bangga pertamina,positif,0.6252095222446857
perempuanwaos biar orbanya ciprat pertamina,positif,0.5864353157437486
breach contract etanol rusak mesin because this been part fuel supply chain years years come aneh pertamina orang order kasi additive tbtb naro etanol,positif,0.3793836714991734
megah rdmp balikpapan kisah hangat warga saharuddin sopir angkot senyum berkat proyek kilang balikpapan jalan kilang pertamina internasional angkotnya rutin sewa kerja ekonomi putar umkm hidup,negatif,0.46645914635529756
sorry logika balik dinasti riza chalid habis beli bijak dirut pertamina simon bongkar borok jaksa sikat habis tcogfikcbv,neutral,0.3891178698795032
tuju ironis pertamina doang,positif,0.4884641333731679
khipoaja peluang usaha cipta bangun kilang pertamina,negatif,0.3789077661800509
jimans ente aneh ngabisin duit pertamina,positif,0.3945190259541642
bioetanol kemarin marah campur etanol produksi pertamina,negatif,0.39859340241197433
pertamina pakai etanol impor produksi pertamax green bioetanol lokal nilai penuh standar kualitas produksi batas harga rantai pasok integrasi kondisi manfaat etanol negeri tcowddtofgx,negatif,0.4355884654313161
buatakunlagike tvindonesiawkwk dasar berita oktober lapor motor honda beat vario rusakbrebet pertalite jatim lamongan tuban duga kontaminasi etanol bikin pompa bensin busi pertamina buka posko,negatif,0.3624043827710096
pagi damai ojek online abang jefri jarang nganggur rute kilang balikpapan rdmp balikpapan order kilang pertamina internasional benarbenar selamat umkm transportasi rakyat,negatif,0.41831885478276987
yourtinysamo chat polarisstellar alam tembus bumn shopee paragon pertamina dll,neutral,0.4771713660031676
enasdhuhri obiwancatnobi analisis campur pertalite sebab etanol kandung higroskopis serap kelembaban tropis indonesia potensi picu pisah fase tangki buka simpan pertamina,neutral,0.38237384099419663
semutmerah masa jiwa nasionalisme pertamina erick kobar campur etanol bahlil,positif,0.44588511404209014
spradiiik pertamina patra niaga komitmen jaga sedia libur natal ama jalan jalan pertamina bangkabelitung tcodtqsirxc,neutral,0.3869005810630223
infojktcom pertamina toyota kandung etanol aman handal kendara,positif,0.5160792955968759
indranatatama good kilang pertamina internasional,negatif,0.5209106723635333
revenantza selebtwitmobil shusidalthought starlink elonmusk pertamina telkomsel telkomindonesia revenantza kakak mohon maaf ketidaknyamanannya mohon informasi kendala listrik mimi bantu mohon informasi admin tunggu konfirmasi tkspopy,positif,0.42237350983334787
tjahajababimu redam rencana target wajib gantung kesiap produksi etanol pertamina jual pertamax green etanol aman kendara risiko korosi rendah banding,positif,0.4036842958573447
alcpnee jimans akbalal this tulis spbu pertamina pengin antri pertamax rame pertamax oplos langsung ganti tutup foto,positif,0.5722959888757819
pertamina raih gold rank asrrat berkat unggul lapor lanjut thephraseid pertagas pertamina asrrat tcoxlmlquofl,neutral,0.37357373443651315
susnog danantarari riekediahp pertamina kementerianesdm tribunnews mohmahfudmd kompastv metrotv kpkri ubah sampah etanol tpa daur ulang,positif,0.3801340284391967
pertamina buka bengkel gratis motor brebet lucu salah bbmnya mesin motor bijak campur etanol paksa bahlil hijau motor batukbatuk tcovsmbkzqtd,neutral,0.35188648641406195
pertamina patra niaga pasti kerja keluarga dampak banjir aman tcozogrwjhdy,neutral,0.37805162844680706
sutanmangara syahruzy aceh langka distribusi stok pertamina ubah pola sesuai konteks tanggap darurat,positif,0.38494448729263736
bumnidn kelola bumn pertamina elnusaofficial depot pertamina labuh deli praktek ilegal bebas operasi tcoufyfhzk,negatif,0.47476480280222627
sanzuxsual harga shell pertamina shell pertaminanjing,neutral,0.5409223749531822
aceh pertamina bphmigas bebas barcode khusus plat merah kendara bantu,neutral,0.36739303481358604
komisaris independen pertamina naniek deyang orang madiun,negatif,0.5589444003192082
didilionrich loecoe program bensin etanol kelas subsidi pertamina jual bensin pakai etanol nama pertamax green harga rupiah etanol geetuu tcohhjbeuih,neutral,0.45074048429751123
dampak positif operasi rdmp balikpapan data kota balikpapan proyek refinery development master plan rdmp balikpapan kelola kilang pertamina internasional dampak ekonomi signifikan kota balikpapan tcoetdxsdkbj,negatif,0.43201929461509236
guna etanol untung tani negara guna etanol ribut tuju skema indonesia toyota heran pertamina kandung etanol persen ribut tcolomdqjkpcq,positif,0.4198991542980345
